x	y	z	contour type	frameID	weight	time frame
28.16106	-44.22323	-10.60852	SAX_RV_FREEWALL	20	1.0	1.0
29.95681	-42.40981	-8.48634	SAX_RV_FREEWALL	20	1.0	1.0
31.42457	-41.98104	-5.94168	SAX_RV_FREEWALL	20	1.0	1.0
33.54830	-38.78295	-4.24199	SAX_RV_FREEWALL	20	1.0	1.0
35.34405	-36.96953	-2.11982	SAX_RV_FREEWALL	20	1.0	1.0
37.46778	-33.77143	-0.42014	SAX_RV_FREEWALL	20	1.0	1.0
38.85763	-30.78772	0.00721	SAX_RV_FREEWALL	20	1.0	1.0
40.24749	-27.80401	0.43456	SAX_RV_FREEWALL	20	1.0	1.0
40.90346	-25.03469	-0.41042	SAX_RV_FREEWALL	20	1.0	1.0
41.55943	-22.26536	-1.25540	SAX_RV_FREEWALL	20	1.0	1.0
42.21541	-19.49603	-2.10038	SAX_RV_FREEWALL	20	1.0	1.0
42.13750	-16.94108	-4.21770	SAX_RV_FREEWALL	20	1.0	1.0
42.05959	-14.38613	-6.33501	SAX_RV_FREEWALL	20	1.0	1.0
15.07822	-15.82370	-58.06844	SAX_RV_FREEWALL	20	1.0	1.0
12.95448	-19.02179	-59.76812	SAX_RV_FREEWALL	20	1.0	1.0
12.29851	-21.79112	-58.92314	SAX_RV_FREEWALL	20	1.0	1.0
10.17478	-24.98921	-60.62282	SAX_RV_FREEWALL	20	1.0	1.0
9.51880	-27.75854	-59.77784	SAX_RV_FREEWALL	20	1.0	1.0
8.12895	-30.74225	-60.20519	SAX_RV_FREEWALL	20	1.0	1.0
7.47298	-33.51157	-59.36021	SAX_RV_FREEWALL	20	1.0	1.0
6.81700	-36.28090	-58.51523	SAX_RV_FREEWALL	20	1.0	1.0
5.42715	-39.26461	-58.94258	SAX_RV_FREEWALL	20	1.0	1.0
4.03730	-42.24832	-59.36993	SAX_RV_FREEWALL	20	1.0	1.0
2.64744	-45.23203	-59.79728	SAX_RV_FREEWALL	20	1.0	1.0
2.72535	-47.78698	-57.67996	SAX_RV_FREEWALL	20	1.0	1.0
3.53714	-50.12754	-54.29031	SAX_RV_FREEWALL	20	1.0	1.0
5.00490	-49.69878	-51.74565	SAX_RV_FREEWALL	20	1.0	1.0
6.47266	-49.27002	-49.20098	SAX_RV_FREEWALL	20	1.0	1.0
8.26840	-47.45659	-47.07881	SAX_RV_FREEWALL	20	1.0	1.0
9.73616	-47.02783	-44.53414	SAX_RV_FREEWALL	20	1.0	1.0
11.20392	-46.59906	-41.98948	SAX_RV_FREEWALL	20	1.0	1.0
12.67168	-46.17030	-39.44481	SAX_RV_FREEWALL	20	1.0	1.0
14.13944	-45.74154	-36.90015	SAX_RV_FREEWALL	20	1.0	1.0
15.60720	-45.31278	-34.35548	SAX_RV_FREEWALL	20	1.0	1.0
16.74697	-46.26868	-31.38833	SAX_RV_FREEWALL	20	1.0	1.0
18.21473	-45.83991	-28.84366	SAX_RV_FREEWALL	20	1.0	1.0
19.68249	-45.41115	-26.29900	SAX_RV_FREEWALL	20	1.0	1.0
21.15025	-44.98239	-23.75433	SAX_RV_FREEWALL	20	1.0	1.0
